stock,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname,exchDisp,sector,industry,isYahooFinance,prevName,nameChangeDate
CRIV4.SA,SAO,ALFA FINANC PN,EQUITY,CRIV4.SA,quotes,2000700.0,Equity,"Financeira Alfa S.A. - Crédito, Financiamento e Investimentos",São Paulo,Financial Services,Financial Conglomerates,True,,
SINC11L.SA,,,,,,,,,,,,,,
BRIV4.SA,SAO,ALFA INVEST PN,EQUITY,BRIV4.SA,quotes,2000700.0,Equity,Banco Alfa de Investimento S.A.,São Paulo,Financial Services,Banks—Regional,True,,
MSRO3.SA,,,,,,,,,,,,,,
VALE-DEB84L0.SA,,,,,,,,,,,,,,
OVSA-DEB32L0.SA,,,,,,,,,,,,,,
XBOV11F.SA,,,,,,,,,,,,,,
ENEV3.SA,SAO,ENEVA       ON      NM,EQUITY,ENEV3.SA,quotes,2002900.0,Equity,Eneva S.A.,São Paulo,Utilities,Utilities—Diversified,True,,
VALE-DEB83L1.SA,,,,,,,,,,,,,,
ECOV-DEB22L1.SA,,,,,,,,,,,,,,
VIVR3.SA,SAO,VIVER       ON      NM,EQUITY,VIVR3.SA,quotes,2000500.0,Equity,Viver Incorporadora e Construtora S.A.,São Paulo,Real Estate,Real Estate—Development,True,,
ECOV-DEB21L0.SA,,,,,,,,,,,,,,
GRLV11.SA,,,,,,,,,,,,,,
VERZ34.SA,SAO,VERIZON     DRN,EQUITY,VERZ34.SA,quotes,2005500.0,Equity,Verizon Communications Inc.,São Paulo,Communication Services,Telecom Services,True,,
VALE-DEB92B0.SA,,,,,,,,,,,,,,
WHRL4.SA,SAO,WHIRLPOOL   PN,EQUITY,WHRL4.SA,quotes,2000900.0,Equity,Whirlpool S.A.,São Paulo,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,,
TWXB34F.SA,,,,,,,,,,,,,,
RNEW3.SA,SAO,RENOVA      ON      N2,EQUITY,RNEW3.SA,quotes,2000400.0,Equity,Renova Energia S.A.,São Paulo,Utilities,Utilities—Renewable,True,,
MWET3.SA,,,,,,,,,,,,,,
SHOW3.SA,SAO,TIME FOR FUNON      NM,EQUITY,SHOW3.SA,quotes,2001000.0,Equity,T4F Entretenimento S.A.,São Paulo,Consumer Cyclical,Leisure,True,,
SPTW11.SA,SAO,FII SP DOWNTCI,EQUITY,SPTW11.SA,quotes,2000100.0,Equity,Sp Downtown Fundo de Investimento Imobiliário - FII,São Paulo,Real Estate,REIT—Diversified,True,,
KEPL11.SA,,,,,,,,,,,,,,
WUNI34F.SA,,,,,,,,,,,,,,
WTVP-CRI11L1.SA,,,,,,,,,,,,,,
WALM34.SA,SAO,WAL MART    DRN,EQUITY,WALM34.SA,quotes,2000100.0,Equity,Walmart Inc.,São Paulo,Consumer Defensive,Discount Stores,True,,
RNEW2.SA,,,,,,,,,,,,,,
RNEW12.SA,,,,,,,,,,,,,,
KEPL3.SA,SAO,KEPLER WEBERON  ED,EQUITY,KEPL3.SA,quotes,2004600.0,Equity,Kepler Weber S.A.,São Paulo,Industrials,Farm & Heavy Construction Machinery,True,,
LINX3.SA,,,,,,,,,,,,,,
CTAX4.SA,,,,,,,,,,,,,,
CHVX34.SA,SAO,CHEVRON     DRN,EQUITY,CHVX34.SA,quotes,2001000.0,Equity,Chevron Corporation,São Paulo,Energy,Oil & Gas Integrated,True,,
AGCX11.SA,,,,,,,,,,,,,,
TXRX4.SA,SAO,TEX RENAUX  PN,EQUITY,TXRX4.SA,quotes,2000400.0,Equity,Têxtil Renauxview S.A.,São Paulo,Consumer Cyclical,Textile Manufacturing,True,,
XBOV.SA,SAO,CAIXAETFXBOV,INDEX,XBOV.SA,quotes,2000100.0,Index,CAIXAETFXBOV,São Paulo,,,True,,
BDRX11.SA,,,,,,,,,,,,,,
FIXX11.SA,,,,,,,,,,,,,,
BRAX11.SA,SAO,ISHARES BRAXCI,EQUITY,BRAX11.SA,quotes,2000200.0,Equity,iShares IBrX-Índice Brasil (IBrX-100) Index Fund,São Paulo,,,True,,
INDX11.SA,,,,,,,,,,,,,,
CTAX3.SA,,,,,,,,,,,,,,
IGCX11.SA,,,,,,,,,,,,,,
XTED11.SA,,,,,,,,,,,,,,
NFLX34F.SA,,,,,,,,,,,,,,
DTEX-DCA11L0.SA,,,,,,,,,,,,,,
MLCX11.SA,,,,,,,,,,,,,,
HTMX11B.SA,,,,,,,,,,,,,,
XVTE5L.SA,,,,,,,,,,,,,,
XPCM11.SA,SAO,FII XP MACAECI,EQUITY,XPCM11.SA,quotes,2000600.0,Equity,XP Corporate Macaé Fundo de Investimento Imobiliário - FII,São Paulo,Real Estate,REIT—Diversified,True,,
IEEX11.SA,,,,,,,,,,,,,,
TXRX3.SA,SAO,TEX RENAUX  ON,EQUITY,TXRX3.SA,quotes,2000100.0,Equity,Têxtil Renauxview S.A.,São Paulo,Consumer Cyclical,Textile Manufacturing,True,,
CHVX34F.SA,,,,,,,,,,,,,,
IBXX11.SA,,,,,,,,,,,,,,
TXRX3F.SA,SAO,TEX RENAUX  ON,EQUITY,TXRX3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
DTEX-DCA11L1.SA,,,,,,,,,,,,,,
IFIX11.SA,,,,,,,,,,,,,,
XPTD11.SA,,,,,,,,,,,,,,
TTEX5L.SA,,,,,,,,,,,,,,
XRXB34.SA,SAO,XEROX CORP  DRN,EQUITY,XRXB34.SA,quotes,2000100.0,Equity,Xerox Holdings Corporation,São Paulo,Technology,Information Technology Services,True,,
XRXB34F.SA,,,,,,,,,,,,,,
IVBX11.SA,,,,,,,,,,,,,,
CTAX11.SA,,,,,,,,,,,,,,
XPGA11.SA,,,,,,,,,,,,,,
SNSY6F.SA,,,,,,,,,,,,,,
HSHY34F.SA,,,,,,,,,,,,,,
EBAY34.SA,SAO,EBAY        DRN,EQUITY,EBAY34.SA,quotes,2000100.0,Equity,eBay Inc.,São Paulo,Consumer Cyclical,Internet Retail,True,,
DTCY3.SA,SAO,DTCOM-DIRECTON,EQUITY,DTCY3.SA,quotes,2000400.0,Equity,DTCOM - Direct to Company S.A.,São Paulo,Communication Services,Telecom Services,True,,
SNSY3F.SA,SAO,SANSUY      ON,EQUITY,SNSY3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
YPFL3.SA,,,,,,,,,,,,,,
COTY34F.SA,,,,,,,,,,,,,,
TUPY3.SA,SAO,TUPY        ON      NM,EQUITY,TUPY3.SA,quotes,2007300.0,Equity,Tupy S.A.,São Paulo,Consumer Cyclical,Auto Parts,True,,
SNSY5.SA,SAO,SANSUY      PNA,EQUITY,SNSY5.SA,quotes,2000700.0,Equity,Sansuy S.A.,São Paulo,Consumer Cyclical,Auto Parts,True,,
WMBY3F.SA,,,,,,,,,,,,,,
PABY11.SA,SAO,FII PANAMBY CI,EQUITY,PABY11.SA,quotes,2000800.0,Equity,Fundo de Investimento Imobiliário Panamby,São Paulo,Real Estate,Real Estate Services,True,,
HSHY34.SA,SAO,HERSHEY CO  DRN,EQUITY,HSHY34.SA,quotes,2000300.0,Equity,The Hershey Company,São Paulo,Consumer Defensive,Confectioners,True,,
EBAY34F.SA,,,,,,,,,,,,,,
